,Source Account,Tweet Text,Date,Tweets Ago,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,BBCNews,"RT @BBCRoryCJ: Uber + TfL met at a secret location - Uber says ""constructive"",  ""hope to have further discussions.. ..determined to make th…",Tue Oct 03 16:08:03 +0000 2017,0,0.4877,0.143,0.857,0.0
1,BBCNews,"RT @BBCNewsbeat: The government wants to give you cash if you return empty bottles to be recycled.

Would that change your habits?

https:/…",Tue Oct 03 15:59:02 +0000 2017,1,-0.2023,0.0,0.924,0.076
2,BBCNews,Boris Johnson: Let the British lion roar https://t.co/w6tydykA8p,Tue Oct 03 15:51:06 +0000 2017,2,0.0,0.0,1.0,0.0
3,BBCNews,"Tuition fee changes 'to save students £15,700' https://t.co/oBw6kCed9y",Tue Oct 03 15:21:53 +0000 2017,3,0.4939,0.314,0.686,0.0
4,BBCNews,Landfill search for airman to restart https://t.co/4s1qQPhUHJ,Tue Oct 03 15:21:50 +0000 2017,4,0.0,0.0,1.0,0.0
5,BBCNews,"""We are the party that believes in this country"" - @BorisJohnson https://t.co/PPlQcACTU8 #CPC17 https://t.co/u6tKuitPyK",Tue Oct 03 15:20:41 +0000 2017,5,0.4019,0.184,0.816,0.0
6,BBCNews,RT @BBCBreaking: Police to resume search of landfill site near Cambridge for missing airman Corrie Mckeague https://t.co/2Jyx2GqRKk,Tue Oct 03 15:19:50 +0000 2017,6,-0.296,0.0,0.879,0.121
7,BBCNews,"RT @BBCBreaking: US expels 15 Cuban diplomats, saying Cuba has failed to protect US diplomats from mystery acoustic attacks in Havana https…",Tue Oct 03 15:19:45 +0000 2017,7,-0.7351,0.088,0.612,0.299
8,BBCNews,"""It is time to be bold, to seize the opportunities"" - @BorisJohnson addresses #CPC17 https://t.co/PPlQcACTU8 https://t.co/LCymGNaC2i",Tue Oct 03 15:05:25 +0000 2017,8,0.6369,0.286,0.714,0.0
9,BBCNews,"""We must believe in global Britain"" - @BorisJohnson addresses #CPC17 https://t.co/PPlQcACTU8 https://t.co/asDxzxUvKo",Tue Oct 03 14:53:35 +0000 2017,9,0.0,0.0,1.0,0.0
10,BBCNews,"RT @BBCSport: England players Eniola Aluko and Lianne Sanderson will give evidence about the FA at a government inquiry.

https://t.co/siFO…",Tue Oct 03 14:21:11 +0000 2017,10,0.0,0.0,1.0,0.0
11,BBCNews,"Follow the latest news from #CPC17 in Manchester

https://t.co/NLDvY2vKhH https://t.co/88v43E7CUL",Tue Oct 03 13:46:32 +0000 2017,11,0.0,0.0,1.0,0.0
12,BBCNews,Scottish government backs ban on fracking https://t.co/LbtjsN5uMp,Tue Oct 03 13:40:23 +0000 2017,12,-0.5859,0.0,0.51,0.49
13,BBCNews,"RT @BBCNormanS: David Davis accuses unnamed EU officials of ""insulting, offensive"" briefing against him #cpc17",Tue Oct 03 13:39:05 +0000 2017,13,-0.6597,0.0,0.707,0.293
14,BBCNews,"UK aiming for ""a good deal"" on #Brexit but is ""ready for the alternative"" - Brexit Secretary David Davis #CPC17… https://t.co/BcC5Swt746",Tue Oct 03 13:38:59 +0000 2017,14,0.6369,0.224,0.776,0.0
